@@,itemlabel,item,startdate,enddate
->,Никола Василев (политик)->Никола Василев,Q12288319,1991-11-08,1992-12-30
->,Никола Василев (политик)->Никола Василев,Q12288319,1994-10-17,1995-01-25
->,Петър Бояджиев (министър)->Петър Бояджиев,Q12290377,1997-05-21,1999-12-21
->,Стефан Константинов (лекар)->Стефан Константинов,Q12295230,2010-10-06,2012-03-15
->,Николай Петров (професор)->Николай Петров,Q12288760,2013-03-13,2013-05-29
->,Николай Петров (професор)->Николай Петров,Q12288760,2017-05-04,2017-11-10
->,Кирил Ананиев,Q17409213,2017-11-10,2020-07->2020-07-24
->,Стойчо Кацаров,Q12295434,2021-05-12,2021-12-13->2021-09-16
+++,Стойчо Кацаров,Q12295434,2021-09-16,2021-12-13
->,Q110153983->Асена Сербезова,Q110153983->Q110262409,2021-12-13,
